SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
531	7	-6	34.03	40.22	-999	-999	-999	-999	-999	-999	-999
532	-3	2	46.4	50.17	-999	-999	-999	-999	-999	-999	-999
532	-2	4	51.02	44.51	-999	-999	-999	-999	-999	-999	-999
532	-1	6	34.16	43.94	-999	-999	-999	-999	-999	-999	-999
532	0	0	41.19	46.44	-999	-999	-999	-999	-999	-999	-999
532	1	-1	51.02	43.94	-999	-999	-999	-999	-999	-999	-999
532	2	-2	51.02	44.51	-999	-999	-999	-999	-999	-999	-999
532	3	3	45.67	50.98	-999	-999	-999	-999	-999	-999	-999
532	4	-3	45.88	43.94	-999	-999	-999	-999	-999	-999	-999
532	5	-4	45.88	43.94	-999	-999	-999	-999	-999	-999	-999
532	6	-5	41.74	43.94	-999	-999	-999	-999	-999	-999	-999
532	7	-6	33.86	43.94	-999	-999	-999	-999	-999	-999	-999
541	-3	2	52.28	52.82	-999	-999	-999	-999	-999	-999	-999
541	-2	4	49.17	62.25	-999	-999	-999	-999	-999	-999	-999
541	-1	6	34.02	29.43	-999	-999	-999	-999	-999	-999	-999
541	0	0	37.73	31.59	-999	-999	-999	-999	-999	-999	-999
541	1	-1	49.18	32.59	-999	-999	-999	-999	-999	-999	-999
541	2	-2	49.17	62.25	-999	-999	-999	-999	-999	-999	-999
541	3	3	53.14	48.72	-999	-999	-999	-999	-999	-999	-999
541	4	-3	32.83	33.97	-999	-999	-999	-999	-999	-999	-999
541	5	-4	32.83	33.97	-999	-999	-999	-999	-999	-999	-999
541	6	-5	23.33	30.69	-999	-999	-999	-999	-999	-999	-999
541	7	-6	35.43	28.66	-999	-999	-999	-999	-999	-999	-999
542	-3	2	53.32	49.41	-999	-999	-999	-999	-999	-999	-999
542	-2	4	55.27	41.22	-999	-999	-999	-999	-999	-999	-999
542	-1	6	41.11	39.85	-999	-999	-999	-999	-999	-999	-999
542	0	0	41.96	40.29	-999	-999	-999	-999	-999	-999	-999
542	1	-1	55.28	40.06	-999	-999	-999	-999	-999	-999	-999
542	2	-2	55.27	41.22	-999	-999	-999	-999	-999	-999	-999
542	3	3	52.24	55.45	-999	-999	-999	-999	-999	-999	-999
542	4	-3	55.13	39.93	-999	-999	-999	-999	-999	-999	-999
542	5	-4	55.13	39.93	-999	-999	-999	-999	-999	-999	-999
542	6	-5	37.14	40.23	-999	-999	-999	-999	-999	-999	-999
542	7	-6	41.37	39.76	-999	-999	-999	-999	-999	-999	-999
543	-3	2	35.59	45.13	-999	-999	-999	-999	-999	-999	-999
543	-2	4	36.17	45.6	-999	-999	-999	-999	-999	-999	-999
543	-1	6	35.35	35.06	-999	-999	-999	-999	-999	-999	-999
543	0	0	35.96	36.43	-999	-999	-999	-999	-999	-999	-999
543	1	-1	36.3	35.41	-999	-999	-999	-999	-999	-999	-999
543	2	-2	36	45.62	-999	-999	-999	-999	-999	-999	-999
543	3	3	34.8	44.5	-999	-999	-999	-999	-999	-999	-999
543	4	-3	35.27	35.1	-999	-999	-999	-999	-999	-999	-999
543	5	-4	35.27	35.1	-999	-999	-999	-999	-999	-999	-999
543	6	-5	37.44	35.06	-999	-999	-999	-999	-999	-999	-999
543	7	-6	35.8	35.25	-999	-999	-999	-999	-999	-999	-999
549	-3	2	44.94	57.97	-999	-999	-999	-999	-999	-999	-999
